#{"t_start": 1607735214.9873712, "env_id": null}
r,l,t
-2086.619696,126,114.056717
-3182.00689,142,114.185066
-1888.469247,132,114.306487
-1900.67666,124,114.420475
-2126.236306,152,114.559513
-1833.101838,131,114.68394
-1973.715904,144,114.821199
-2444.87596,139,114.947874
-1704.214492,119,115.062237
-2124.604827,145,115.193692
-2295.501058,140,115.31988
-2020.528056,128,115.437147
-2418.845175,119,115.548657
-1899.010845,126,115.663963
-3832.123654,140,116.699292
-2594.585694,128,116.823693
-2202.056579,148,116.959652
-2187.013627,136,117.083672
-2138.388278,133,117.203023
-1927.558045,130,117.32163
-2547.394438,110,117.425272
-2541.777854,129,117.542583
-1765.927329,117,117.651575
-2732.03741,153,117.785326
-2681.44213,129,117.902325
-2009.110255,121,118.01403
-2002.764141,137,118.137256
-1478.145078,134,118.258263
-2005.080591,138,118.381647
-1886.104007,132,118.500836
-3006.485616,127,119.532901
-2098.714312,151,119.685379
-2234.719475,141,119.821842
-1605.266141,121,119.9502
-1935.430319,132,120.075784
-1353.589545,120,120.190773
-2561.173202,142,120.316437
-1845.974039,131,120.434283
-2094.366798,145,120.563066
-2157.697419,153,120.698766
-2243.411442,136,120.820317
-3873.794596,139,120.944893
-2793.991923,112,121.049602
-1618.614098,118,121.158296
-2476.376278,144,121.286156
-2457.837723,143,122.324654
-2325.005599,146,122.462808
-2625.65419,137,122.587764
-2991.00863,150,122.720432
-2722.949267,138,122.845059
-3294.168395,141,122.971004
-2709.155064,117,123.080406
-2932.465424,123,123.193348
-2395.063744,121,123.30452
-2071.250096,134,123.427721
-1934.916096,147,123.560872
-2498.105954,149,123.694782
-1706.545616,124,123.810755
-2494.307034,133,123.93126
-2416.392501,152,124.064445
-2027.684674,141,125.223346
-2403.583078,125,125.349625
-2153.543357,139,125.476537
-3063.784414,136,125.597941
-2181.887172,142,125.727342
-2873.684907,124,125.841444
-1756.506148,138,125.964524
-2015.555092,156,126.101503
-2404.43291,130,126.219094
-2539.681114,128,126.335856
-3423.470071,148,126.466053
-2199.197923,121,126.577347
-2637.13357,146,126.707009
-1532.765601,122,126.818678
-2875.955398,126,126.934258
-3239.895279,140,127.953381
-1812.668384,133,128.081858
-2214.148087,143,128.211402
-1585.830338,145,128.339721
-2141.064166,135,128.461991
-1584.43266,134,128.583177
-1733.052398,119,128.693284
-2075.073116,145,128.821795
-2048.211417,145,128.950168
-2685.774361,155,129.086958
-2234.469599,151,129.219871
-1429.809591,124,129.334053
-1352.065007,132,129.453472
-1823.131263,140,129.578583
-2089.306594,118,129.688553
-1901.719475,145,130.759691
-1811.80506,115,130.874305
-1486.540225,124,130.990614
-1887.343903,136,131.112331
-2374.435191,118,131.221193
-2555.046987,129,131.338619
-1863.427377,137,131.462569
-2070.437922,151,131.598163
-1978.195873,127,131.713823
-2830.934656,130,131.831986
-2731.974442,135,131.953858
-2473.45476,136,132.076898
-2218.88197,159,132.214964
-3692.407398,132,132.334079
-2024.743788,133,132.453472
-2054.993544,131,132.571981
-2328.255688,146,133.603144
-1801.407562,122,133.7204
-1832.979193,134,133.841603
-2608.491063,136,133.963819
-1635.094131,141,134.091
-2239.013064,153,134.226301
-2889.063163,138,134.351247
-1980.791899,130,134.470854
-1876.238531,118,134.580071
-2386.961376,130,134.697918
-2205.91854,129,134.818745
-1751.470425,124,134.935568
-1523.02196,129,135.060345
-2150.752276,109,135.169245
-2862.838094,119,135.283396
-1992.636812,140,136.320526
-2097.08878,133,136.44827
-1612.890625,138,136.574903
-2023.167552,144,136.703031
-2360.263904,148,136.833596
-2382.607903,152,136.966675
-1560.97792,122,137.078564
-2582.335643,125,137.191978
-2216.295061,132,137.310487
-2000.037101,127,137.427311
-2738.759501,128,137.543586
-1740.983845,139,137.667309
-2032.889982,141,137.792193
-3502.589209,141,137.917236
-2061.432512,131,138.036056
-2525.522151,132,139.053877
-2263.589835,143,139.189261
-2987.078331,154,139.326721
-3579.831393,121,139.437875
-3148.527132,126,139.553161
-2161.902106,143,139.679982
-2332.261941,138,139.803069
-2764.201009,129,139.926511
-1920.883812,123,140.043216
-2059.637765,156,140.191213
-2191.176426,128,140.307484
-2002.776244,127,140.426573
-1738.643461,129,140.545121
-3385.251421,133,140.665579
-2082.886033,130,140.786463
-2857.348448,126,140.901575
-3094.606524,125,141.921483
-2241.106324,146,142.058238
-3051.057677,146,142.187595
-1791.537438,137,142.312616
-1960.351864,130,142.429999
-1853.194418,156,142.568105
-1916.063041,125,142.682456
-2115.18035,144,142.809428
-2505.20408,131,142.928602
-2385.317624,142,143.05421
-2124.069108,129,143.1708
-2191.61461,116,143.278546
-2010.221178,129,143.395598
-2178.919163,110,143.499894
-2036.212058,139,143.623823
-1749.492936,138,144.651569
-2065.57283,122,144.770862
-1300.224731,137,144.897417
-1979.37872,141,145.029311
-1815.516951,129,145.152064
-2059.507027,151,145.291591
-2747.005737,141,145.423297
-1909.294237,141,145.552178
-2296.717612,142,145.680383
-1813.47021,129,145.797297
-3314.853474,128,145.914597
-2482.240778,140,146.039487
-1919.134991,148,146.169635
-2312.768571,142,146.295806
-2626.378684,125,146.409523
-3405.399814,125,147.428253
-2118.241686,126,147.550868
-1879.78377,157,147.692179
-1998.793942,157,147.828588
-1956.803617,129,147.94619
-1896.150362,124,148.059619
-2024.567142,152,148.192606
-2492.392406,117,148.301524
-1899.994658,132,148.420344
-2495.535521,148,148.550855
-2180.395979,137,148.673663
-2417.896758,115,148.78078
-3137.783613,127,148.896964
-2563.946834,116,149.004796
-1973.121569,138,149.12784
-3057.716679,140,150.168004
-1998.329578,147,150.326976
-2789.389285,141,150.453747
-2552.464755,147,150.591359
-2534.131781,127,150.708349
-3684.451846,123,150.821388
-2286.582811,122,150.934236
-2518.540537,147,151.063732
-2275.392758,115,151.170645
-1977.43236,140,151.29542
-1710.556506,126,151.409726
-2183.077135,129,151.526688
-2501.098081,138,151.649657
-1991.819079,128,151.766067
-3103.852207,141,151.892031
-2075.24402,129,152.009995
-1957.486103,141,153.040201
-1921.830277,133,153.166958
-2352.477417,131,153.284654
-2011.583928,122,153.396203
-2175.835063,123,153.508606
-2526.552893,139,153.632178
-2438.382525,123,153.744708
-1822.125429,131,153.862363
